group,permission,description,enforcement,notes,OWNER_tagged,OWNER_api,OWNER_align,PM_tagged,PM_api,PM_align,DPM_tagged,DPM_api,DPM_align,QC_tagged,QC_api,QC_align,MECHANICAL_MANAGER_tagged,MECHANICAL_MANAGER_api,MECHANICAL_MANAGER_align,STORE_INCHARGE_tagged,STORE_INCHARGE_api,STORE_INCHARGE_align,WEIGHBRIDGE_INCHARGE_tagged,WEIGHBRIDGE_INCHARGE_api,WEIGHBRIDGE_INCHARGE_align,SITE_SUPERVISOR_tagged,SITE_SUPERVISOR_api,SITE_SUPERVISOR_align,SUPERVISOR_tagged,SUPERVISOR_api,SUPERVISOR_align,ACCOUNTANT_tagged,ACCOUNTANT_api,ACCOUNTANT_align,INVENTORY_MANAGER_tagged,INVENTORY_MANAGER_api,INVENTORY_MANAGER_align
Estimates,estimate.view,View estimates,AUTH_ONLY,GET estimates: authenticate only,YES,UNGATED,N/A,YES,UNGATED,N/A,YES,UNGATED,N/A,NO,UNGATED,N/A,NO,UNGATED,N/A,NO,UNGATED,N/A,NO,UNGATED,N/A,NO,UNGATED,N/A,NO,UNGATED,N/A,NO,UNGATED,N/A,NO,UNGATED,N/A
Estimates,estimate.create,Create & edit estimates,AUTH_ONLY,POST create/update estimate: authenticate only (ESTIMATE_MUTATION_ROLES not applied),YES,UNGATED,N/A,YES,UNGATED,N/A,YES,UNGATED,N/A,NO,UNGATED,N/A,NO,UNGATED,N/A,NO,UNGATED,N/A,NO,UNGATED,N/A,NO,UNGATED,N/A,NO,UNGATED,N/A,NO,UNGATED,N/A,NO,UNGATED,N/A
Estimates,estimate.submit,Submit estimate for approval,AUTH_ONLY,POST submit: authenticate only,YES,UNGATED,N/A,YES,UNGATED,N/A,YES,UNGATED,N/A,NO,UNGATED,N/A,NO,UNGATED,N/A,NO,UNGATED,N/A,NO,UNGATED,N/A,NO,UNGATED,N/A,NO,UNGATED,N/A,NO,UNGATED,N/A,NO,UNGATED,N/A
Estimates,estimate.approve,Approve / reject estimates,ROLE,approve/reject use ESTIMATE_MUTATION_ROLES (broader than tagged estimate.approve=OWNER only),YES,PASS,MATCH,NO,PASS,OVER,NO,PASS,OVER,NO,FAIL,MATCH,NO,FAIL,MATCH,NO,FAIL,MATCH,NO,FAIL,MATCH,NO,FAIL,MATCH,NO,FAIL,MATCH,NO,PASS,OVER,NO,FAIL,MATCH
Estimates,estimate.convert_boq,Convert approved estimate to BOQ,ROLE,convert-to-boq uses BOQ_MUTATION_ROLES,YES,PASS,MATCH,NO,PASS,OVER,NO,PASS,OVER,NO,FAIL,MATCH,NO,FAIL,MATCH,NO,FAIL,MATCH,NO,FAIL,MATCH,NO,FAIL,MATCH,NO,FAIL,MATCH,NO,PASS,OVER,NO,FAIL,MATCH
Estimates,estimate.export,Export estimates (Excel / PDF),UNGATED,No dedicated permission guard found,YES,UNGATED,N/A,YES,UNGATED,N/A,YES,UNGATED,N/A,NO,UNGATED,N/A,NO,UNGATED,N/A,NO,UNGATED,N/A,NO,UNGATED,N/A,NO,UNGATED,N/A,NO,UNGATED,N/A,NO,UNGATED,N/A,NO,UNGATED,N/A
BOQ,boq.view,View Bill of Quantities,AUTH_ONLY,GET BOQ: authenticate only,YES,UNGATED,N/A,YES,UNGATED,N/A,YES,UNGATED,N/A,YES,UNGATED,N/A,YES,UNGATED,N/A,YES,UNGATED,N/A,YES,UNGATED,N/A,YES,UNGATED,N/A,YES,UNGATED,N/A,NO,UNGATED,N/A,NO,UNGATED,N/A
BOQ,boq.view_rates,View financial rates & amounts in BOQ,FIELD,Field-level / UI masking; API returns rates without this check,YES,FIELD,N/A,YES,FIELD,N/A,YES,FIELD,N/A,NO,FIELD,N/A,NO,FIELD,N/A,NO,FIELD,N/A,NO,FIELD,N/A,NO,FIELD,N/A,NO,FIELD,N/A,NO,FIELD,N/A,NO,FIELD,N/A
BOQ,boq.edit,Create / edit / delete BOQ items,ROLE,BOQ_MUTATION_ROLES,YES,PASS,MATCH,YES,PASS,MATCH,YES,PASS,MATCH,NO,FAIL,MATCH,NO,FAIL,MATCH,NO,FAIL,MATCH,NO,FAIL,MATCH,NO,FAIL,MATCH,NO,FAIL,MATCH,NO,PASS,OVER,NO,FAIL,MATCH
BOQ,boq.record_measurement,Record BOQ measurements (executed qty),ROLE,SITE_SUPERVISOR not included; QC/DPM tagged but blocked,YES,PASS,MATCH,YES,PASS,MATCH,YES,FAIL,UNDER,YES,FAIL,UNDER,NO,FAIL,MATCH,NO,FAIL,MATCH,NO,FAIL,MATCH,NO,FAIL,MATCH,NO,PASS,OVER,NO,FAIL,MATCH,NO,FAIL,MATCH
