group,permission,description,role,roleLabel,tagged,api,align,enforcement,notes
Estimates,estimate.view,View estimates,OWNER,Owner / MD,YES,UNGATED,N/A,AUTH_ONLY,GET estimates: authenticate only
Estimates,estimate.view,View estimates,PM,Project Manager,YES,UNGATED,N/A,AUTH_ONLY,GET estimates: authenticate only
Estimates,estimate.view,View estimates,DPM,Deputy Project Manager,YES,UNGATED,N/A,AUTH_ONLY,GET estimates: authenticate only
Estimates,estimate.view,View estimates,QC,Senior QC Engineer,NO,UNGATED,N/A,AUTH_ONLY,GET estimates: authenticate only
Estimates,estimate.view,View estimates,MECHANICAL_MANAGER,Mechanical Manager,NO,UNGATED,N/A,AUTH_ONLY,GET estimates: authenticate only
Estimates,estimate.view,View estimates,STORE_INCHARGE,Store Incharge,NO,UNGATED,N/A,AUTH_ONLY,GET estimates: authenticate only
Estimates,estimate.view,View estimates,WEIGHBRIDGE_INCHARGE,WeighBridge Incharge,NO,UNGATED,N/A,AUTH_ONLY,GET estimates: authenticate only
Estimates,estimate.view,View estimates,SITE_SUPERVISOR,Site Supervisor,NO,UNGATED,N/A,AUTH_ONLY,GET estimates: authenticate only
Estimates,estimate.view,View estimates,SUPERVISOR,Site Supervisor (legacy),NO,UNGATED,N/A,AUTH_ONLY,GET estimates: authenticate only
Estimates,estimate.view,View estimates,ACCOUNTANT,Accountant,NO,UNGATED,N/A,AUTH_ONLY,GET estimates: authenticate only
Estimates,estimate.view,View estimates,INVENTORY_MANAGER,Inventory Manager,NO,UNGATED,N/A,AUTH_ONLY,GET estimates: authenticate only
Estimates,estimate.create,Create & edit estimates,OWNER,Owner / MD,YES,UNGATED,N/A,AUTH_ONLY,POST create/update estimate: authenticate only (ESTIMATE_MUTATION_ROLES not applied)
Estimates,estimate.create,Create & edit estimates,PM,Project Manager,YES,UNGATED,N/A,AUTH_ONLY,POST create/update estimate: authenticate only (ESTIMATE_MUTATION_ROLES not applied)
Estimates,estimate.create,Create & edit estimates,DPM,Deputy Project Manager,YES,UNGATED,N/A,AUTH_ONLY,POST create/update estimate: authenticate only (ESTIMATE_MUTATION_ROLES not applied)
Estimates,estimate.create,Create & edit estimates,QC,Senior QC Engineer,NO,UNGATED,N/A,AUTH_ONLY,POST create/update estimate: authenticate only (ESTIMATE_MUTATION_ROLES not applied)
Estimates,estimate.create,Create & edit estimates,MECHANICAL_MANAGER,Mechanical Manager,NO,UNGATED,N/A,AUTH_ONLY,POST create/update estimate: authenticate only (ESTIMATE_MUTATION_ROLES not applied)
Estimates,estimate.create,Create & edit estimates,STORE_INCHARGE,Store Incharge,NO,UNGATED,N/A,AUTH_ONLY,POST create/update estimate: authenticate only (ESTIMATE_MUTATION_ROLES not applied)
Estimates,estimate.create,Create & edit estimates,WEIGHBRIDGE_INCHARGE,WeighBridge Incharge,NO,UNGATED,N/A,AUTH_ONLY,POST create/update estimate: authenticate only (ESTIMATE_MUTATION_ROLES not applied)
Estimates,estimate.create,Create & edit estimates,SITE_SUPERVISOR,Site Supervisor,NO,UNGATED,N/A,AUTH_ONLY,POST create/update estimate: authenticate only (ESTIMATE_MUTATION_ROLES not applied)
Estimates,estimate.create,Create & edit estimates,SUPERVISOR,Site Supervisor (legacy),NO,UNGATED,N/A,AUTH_ONLY,POST create/update estimate: authenticate only (ESTIMATE_MUTATION_ROLES not applied)
Estimates,estimate.create,Create & edit estimates,ACCOUNTANT,Accountant,NO,UNGATED,N/A,AUTH_ONLY,POST create/update estimate: authenticate only (ESTIMATE_MUTATION_ROLES not applied)
Estimates,estimate.create,Create & edit estimates,INVENTORY_MANAGER,Inventory Manager,NO,UNGATED,N/A,AUTH_ONLY,POST create/update estimate: authenticate only (ESTIMATE_MUTATION_ROLES not applied)
Estimates,estimate.submit,Submit estimate for approval,OWNER,Owner / MD,YES,UNGATED,N/A,AUTH_ONLY,POST submit: authenticate only
Estimates,estimate.submit,Submit estimate for approval,PM,Project Manager,YES,UNGATED,N/A,AUTH_ONLY,POST submit: authenticate only
Estimates,estimate.submit,Submit estimate for approval,DPM,Deputy Project Manager,YES,UNGATED,N/A,AUTH_ONLY,POST submit: authenticate only
Estimates,estimate.submit,Submit estimate for approval,QC,Senior QC Engineer,NO,UNGATED,N/A,AUTH_ONLY,POST submit: authenticate only
Estimates,estimate.submit,Submit estimate for approval,MECHANICAL_MANAGER,Mechanical Manager,NO,UNGATED,N/A,AUTH_ONLY,POST submit: authenticate only
Estimates,estimate.submit,Submit estimate for approval,STORE_INCHARGE,Store Incharge,NO,UNGATED,N/A,AUTH_ONLY,POST submit: authenticate only
Estimates,estimate.submit,Submit estimate for approval,WEIGHBRIDGE_INCHARGE,WeighBridge Incharge,NO,UNGATED,N/A,AUTH_ONLY,POST submit: authenticate only
Estimates,estimate.submit,Submit estimate for approval,SITE_SUPERVISOR,Site Supervisor,NO,UNGATED,N/A,AUTH_ONLY,POST submit: authenticate only
Estimates,estimate.submit,Submit estimate for approval,SUPERVISOR,Site Supervisor (legacy),NO,UNGATED,N/A,AUTH_ONLY,POST submit: authenticate only
Estimates,estimate.submit,Submit estimate for approval,ACCOUNTANT,Accountant,NO,UNGATED,N/A,AUTH_ONLY,POST submit: authenticate only
Estimates,estimate.submit,Submit estimate for approval,INVENTORY_MANAGER,Inventory Manager,NO,UNGATED,N/A,AUTH_ONLY,POST submit: authenticate only
Estimates,estimate.approve,Approve / reject estimates,OWNER,Owner / MD,YES,PASS,MATCH,ROLE,approve/reject use ESTIMATE_MUTATION_ROLES (broader than tagged estimate.approve=OWNER only)
